pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
350,15.0,320.0,20.0,30.0,153.0,0.0,10327.0,10.0,0,0,0,0,0,0,320.0,153.0,55.0,False
351,15.0,137.0,20.0,30.0,24.0,0.0,10381.0,10.0,0,0,0,0,0,0,137.0,24.0,55.0,False
352,15.0,401.0,20.0,30.0,21.0,164.0,10438.0,10.0,0,0,0,0,0,0,401.0,185.0,55.0,False
353,15.0,233.0,20.0,30.0,43.0,0.0,10467.0,10.0,0,0,0,0,0,0,233.0,43.0,55.0,False
354,15.0,275.0,20.0,30.0,165.0,0.0,10512.0,10.0,0,0,0,0,0,0,275.0,165.0,55.0,False
355,15.0,66.0,20.0,30.0,34.0,0.0,10530.0,10.0,0,0,0,0,0,0,66.0,34.0,55.0,False
356,15.0,229.0,20.0,30.0,11.0,0.0,10577.0,10.0,0,0,0,0,0,0,229.0,11.0,55.0,False
357,15.0,413.0,20.0,30.0,54.0,91.0,10605.0,10.0,0,0,0,0,0,0,413.0,145.0,55.0,False
358,15.0,211.0,20.0,30.0,110.0,0.0,10638.0,10.0,0,0,0,0,0,0,211.0,110.0,55.0,False
359,15.0,80.0,20.0,30.0,30.0,0.0,10666.0,10.0,0,0,0,0,0,0,80.0,30.0,55.0,False
360,15.0,500.0,35.0,30.0,0.0,10438.0,235.0,10.0,0,0,0,0,0,0,500.0,10438.0,55.0,False
361,15.0,379.0,35.0,30.0,187.0,10605.0,111.0,10.0,0,0,0,0,0,0,379.0,10792.0,55.0,False
362,15.0,401.0,20.0,30.0,3.0,114.0,10739.0,10.0,0,0,0,0,0,0,401.0,117.0,55.0,False
363,15.0,322.0,20.0,30.0,122.0,0.0,10740.0,10.0,0,0,0,0,0,0,322.0,122.0,55.0,False
364,15.0,238.0,20.0,30.0,85.0,0.0,10746.0,10.0,0,0,0,0,0,0,238.0,85.0,55.0,False
365,15.0,216.0,20.0,30.0,54.0,0.0,10747.0,10.0,0,0,0,0,0,0,216.0,54.0,55.0,False
366,15.0,286.0,20.0,30.0,45.0,0.0,10812.0,10.0,0,0,0,0,0,0,286.0,45.0,55.0,False
367,15.0,35.0,20.0,30.0,81.0,0.0,10844.0,10.0,0,0,0,0,0,0,35.0,81.0,55.0,False
368,15.0,521.0,19.0,30.0,24.0,1.0,10857.0,10.0,0,0,0,0,0,0,521.0,25.0,55.0,False
369,15.0,150.0,35.0,30.0,205.0,10857.0,1.0,10.0,0,0,0,0,0,0,150.0,11062.0,55.0,False
370,15.0,468.0,20.0,30.0,248.0,44.0,10903.0,10.0,0,0,0,0,0,0,468.0,292.0,55.0,False
371,15.0,150.0,35.0,30.0,0.0,10739.0,167.0,10.0,0,0,0,0,0,0,150.0,10739.0,55.0,False
372,15.0,105.0,20.0,30.0,4.0,0.0,10944.0,10.0,0,0,0,0,0,0,105.0,4.0,55.0,False
373,15.0,316.0,35.0,30.0,281.0,10903.0,64.0,10.0,0,0,0,0,0,0,316.0,11184.0,55.0,False
374,15.0,252.0,20.0,30.0,72.0,0.0,10994.0,10.0,0,0,0,0,0,0,252.0,72.0,55.0,False
375,15.0,776.0,20.0,5.0,480.0,25.0,11000.0,10.0,0,0,0,0,0,0,776.0,505.0,30.0,False
376,15.0,315.0,20.0,30.0,214.0,133.0,11077.0,10.0,0,0,0,0,0,0,315.0,347.0,55.0,False
377,15.0,160.0,12.0,30.0,172.0,8.0,11132.0,10.0,0,0,0,0,0,0,160.0,180.0,55.0,False
378,15.0,185.0,20.0,30.0,41.0,0.0,11133.0,10.0,0,0,0,0,0,0,185.0,41.0,55.0,False
379,15.0,102.0,20.0,30.0,71.0,0.0,11144.0,10.0,0,0,0,0,0,0,102.0,71.0,55.0,False
380,15.0,438.0,35.0,30.0,37.0,11132.0,8.0,10.0,0,0,0,0,0,0,438.0,11169.0,55.0,False
381,15.0,184.0,20.0,30.0,196.0,0.0,11177.0,10.0,0,0,0,0,0,0,184.0,196.0,55.0,False
382,15.0,351.0,20.0,30.0,69.0,0.0,11222.0,10.0,0,0,0,0,0,0,351.0,69.0,55.0,False
383,15.0,445.0,35.0,30.0,0.0,11077.0,153.0,10.0,0,0,0,0,0,0,445.0,11077.0,55.0,False
384,15.0,399.0,12.0,30.0,136.0,8.0,11308.0,10.0,0,0,0,0,0,0,399.0,144.0,55.0,False
385,15.0,179.0,35.0,30.0,24.0,11308.0,8.0,10.0,0,0,0,0,0,0,179.0,11332.0,55.0,False
386,15.0,534.0,20.0,30.0,165.0,156.0,11348.0,10.0,0,0,0,0,0,0,534.0,321.0,55.0,False
387,15.0,223.0,20.0,30.0,25.0,0.0,11375.0,10.0,0,0,0,0,0,0,223.0,25.0,55.0,False
388,15.0,353.0,35.0,30.0,48.0,11376.0,35.0,10.0,0,0,0,0,0,0,353.0,11424.0,55.0,False
389,15.0,572.0,35.0,30.0,0.0,11383.0,141.0,10.0,0,0,0,0,0,0,572.0,11383.0,55.0,False
390,15.0,274.0,35.0,30.0,423.0,11000.0,525.0,10.0,0,0,0,0,0,0,274.0,11423.0,55.0,False
391,15.0,300.0,20.0,30.0,69.0,0.0,11565.0,10.0,0,0,0,0,0,0,300.0,69.0,55.0,False
392,15.0,72.0,20.0,30.0,102.0,0.0,11630.0,10.0,0,0,0,0,0,0,72.0,102.0,55.0,False
393,0.0,397.0,20.0,30.0,302.0,15.0,11703.0,10.0,0,0,0,0,0,0,397.0,317.0,40.0,False
394,15.0,177.0,20.0,30.0,59.0,0.0,11704.0,10.0,0,0,0,0,0,0,177.0,59.0,55.0,False
395,0.0,473.0,35.0,30.0,0.0,11703.0,15.0,10.0,0,0,0,0,0,0,473.0,11703.0,40.0,False
396,15.0,159.0,20.0,30.0,0.0,0.0,11754.0,10.0,0,0,0,0,0,0,159.0,0.0,55.0,False
397,15.0,402.0,20.0,30.0,15.0,0.0,11769.0,10.0,0,0,0,0,0,0,402.0,15.0,55.0,False
398,15.0,236.0,20.0,30.0,72.0,0.0,11789.0,10.0,0,0,0,0,0,0,236.0,72.0,55.0,False
399,15.0,271.0,20.0,30.0,71.0,180.0,11813.0,10.0,0,0,0,0,0,0,271.0,251.0,55.0,False
400,15.0,509.0,5.0,30.0,350.0,15.0,11832.0,10.0,0,0,0,0,0,0,509.0,365.0,55.0,False
401,15.0,169.0,20.0,30.0,112.0,0.0,11850.0,10.0,0,0,0,0,0,0,169.0,112.0,55.0,False
402,15.0,169.0,20.0,30.0,66.0,0.0,11856.0,10.0,0,0,0,0,0,0,169.0,66.0,55.0,False
403,15.0,538.0,35.0,30.0,176.0,11832.0,15.0,10.0,0,0,0,0,0,0,538.0,12008.0,55.0,False
404,15.0,221.0,20.0,30.0,38.0,0.0,11923.0,10.0,0,0,0,0,0,0,221.0,38.0,55.0,False
405,15.0,139.0,20.0,30.0,99.0,0.0,11964.0,10.0,0,0,0,0,0,0,139.0,99.0,55.0,False
406,15.0,263.0,35.0,30.0,0.0,11813.0,301.0,10.0,0,0,0,0,0,0,263.0,11813.0,55.0,False
407,15.0,216.0,20.0,30.0,50.0,0.0,12150.0,10.0,0,0,0,0,0,0,216.0,50.0,55.0,False
408,15.0,387.0,20.0,30.0,136.0,0.0,12197.0,10.0,0,0,0,0,0,0,387.0,136.0,55.0,False
409,15.0,67.0,20.0,30.0,28.0,0.0,12307.0,10.0,0,0,0,0,0,0,67.0,28.0,55.0,False
410,15.0,199.0,20.0,30.0,145.0,7.0,12338.0,10.0,0,0,0,0,0,0,199.0,152.0,55.0,False
411,15.0,58.0,20.0,30.0,73.0,0.0,12346.0,10.0,0,0,0,0,0,0,58.0,73.0,55.0,False
412,15.0,66.0,20.0,30.0,62.0,0.0,12350.0,10.0,0,0,0,0,0,0,66.0,62.0,55.0,False
413,0.0,180.0,20.0,30.0,138.0,15.0,12376.0,10.0,0,0,0,0,0,0,180.0,153.0,40.0,False
414,15.0,402.0,35.0,30.0,12.0,12338.0,27.0,10.0,0,0,0,0,0,0,402.0,12350.0,55.0,False
415,0.0,318.0,35.0,30.0,169.0,12376.0,15.0,10.0,0,0,0,0,0,0,318.0,12545.0,40.0,False
416,15.0,515.0,20.0,30.0,100.0,114.0,12401.0,10.0,0,0,0,0,0,0,515.0,214.0,55.0,False
417,15.0,82.0,20.0,30.0,106.0,0.0,12412.0,10.0,0,0,0,0,0,0,82.0,106.0,55.0,False
418,15.0,266.0,20.0,30.0,12.0,0.0,12458.0,10.0,0,0,0,0,0,0,266.0,12.0,55.0,False
419,15.0,214.0,20.0,30.0,69.0,0.0,12502.0,10.0,0,0,0,0,0,0,214.0,69.0,55.0,False
420,15.0,409.0,20.0,30.0,31.0,343.0,12531.0,10.0,0,0,0,0,0,0,409.0,374.0,55.0,False
421,15.0,35.0,20.0,30.0,68.0,0.0,12568.0,10.0,0,0,0,0,0,0,35.0,68.0,55.0,False
422,15.0,200.0,20.0,30.0,158.0,0.0,12577.0,10.0,0,0,0,0,0,0,200.0,158.0,55.0,False
423,15.0,271.0,20.0,30.0,113.0,0.0,12600.0,10.0,0,0,0,0,0,0,271.0,113.0,55.0,False
424,15.0,170.0,20.0,30.0,92.0,0.0,12630.0,10.0,0,0,0,0,0,0,170.0,92.0,55.0,False
425,15.0,297.0,20.0,30.0,47.0,0.0,12660.0,10.0,0,0,0,0,0,0,297.0,47.0,55.0,False
426,15.0,302.0,35.0,30.0,128.0,12401.0,264.0,10.0,0,0,0,0,0,0,302.0,12529.0,55.0,False
427,15.0,412.0,20.0,30.0,139.0,70.0,12716.0,10.0,0,0,0,0,0,0,412.0,209.0,55.0,False
428,15.0,174.0,20.0,30.0,50.0,0.0,12728.0,10.0,0,0,0,0,0,0,174.0,50.0,55.0,False
429,15.0,516.0,20.0,30.0,142.0,248.0,12737.0,10.0,0,0,0,0,0,0,516.0,390.0,55.0,False
430,15.0,206.0,20.0,30.0,188.0,121.0,12776.0,10.0,0,0,0,0,0,0,206.0,309.0,55.0,False
431,15.0,195.0,20.0,30.0,87.0,0.0,12781.0,10.0,0,0,0,0,0,0,195.0,87.0,55.0,False
432,15.0,72.0,20.0,30.0,48.0,0.0,12846.0,10.0,0,0,0,0,0,0,72.0,48.0,55.0,False
433,15.0,327.0,20.0,30.0,36.0,22.0,12864.0,10.0,0,0,0,0,0,0,327.0,58.0,55.0,False
434,15.0,484.0,35.0,30.0,127.0,12789.0,93.0,10.0,0,0,0,0,0,0,484.0,12916.0,55.0,False
435,15.0,225.0,35.0,30.0,214.0,12864.0,42.0,10.0,0,0,0,0,0,0,225.0,13078.0,55.0,False
436,15.0,476.0,35.0,30.0,0.0,12869.0,48.0,10.0,0,0,0,0,0,0,476.0,12869.0,55.0,False
437,15.0,232.0,20.0,30.0,12.0,0.0,12969.0,10.0,0,0,0,0,0,0,232.0,12.0,55.0,False
438,15.0,359.0,35.0,30.0,0.0,12531.0,424.0,10.0,0,0,0,0,0,0,359.0,12531.0,55.0,False
439,15.0,254.0,35.0,30.0,165.0,12716.0,259.0,10.0,0,0,0,0,0,0,254.0,12881.0,55.0,False
440,15.0,267.0,20.0,30.0,133.0,0.0,12991.0,10.0,0,0,0,0,0,0,267.0,133.0,55.0,False
441,15.0,201.0,20.0,30.0,0.0,0.0,13001.0,10.0,0,0,0,0,0,0,201.0,0.0,55.0,False
442,15.0,624.0,20.0,30.0,316.0,97.0,13006.0,10.0,0,0,0,0,0,0,624.0,413.0,55.0,False
443,15.0,312.0,35.0,30.0,0.0,12737.0,268.0,10.0,0,0,0,0,0,0,312.0,12737.0,55.0,False
444,15.0,204.0,20.0,30.0,247.0,0.0,13075.0,10.0,0,0,0,0,0,0,204.0,247.0,55.0,False
445,15.0,68.0,20.0,30.0,8.0,0.0,13150.0,10.0,0,0,0,0,0,0,68.0,8.0,55.0,False
446,15.0,452.0,7.0,30.0,32.0,13.0,13160.0,10.0,0,0,0,0,0,0,452.0,45.0,55.0,False
447,15.0,210.0,35.0,30.0,131.0,13160.0,13.0,10.0,0,0,0,0,0,0,210.0,13291.0,55.0,False
448,15.0,251.0,20.0,30.0,134.0,49.0,13190.0,10.0,0,0,0,0,0,0,251.0,183.0,55.0,False
449,15.0,127.0,20.0,30.0,111.0,0.0,13196.0,10.0,0,0,0,0,0,0,127.0,111.0,55.0,False
450,15.0,180.0,20.0,30.0,424.0,0.0,13270.0,10.0,0,0,0,0,0,0,180.0,424.0,55.0,False
451,15.0,351.0,35.0,30.0,171.0,13190.0,69.0,10.0,0,0,0,0,0,0,351.0,13361.0,55.0,False
452,4.0,229.0,20.0,30.0,146.0,11.0,13336.0,10.0,0,0,0,0,0,0,229.0,157.0,44.0,False
453,4.0,147.0,31.0,30.0,326.0,13336.0,11.0,10.0,0,0,0,0,0,0,147.0,13662.0,44.0,False
454,15.0,270.0,20.0,30.0,185.0,0.0,13375.0,10.0,0,0,0,0,0,0,270.0,185.0,55.0,False
455,15.0,195.0,20.0,30.0,68.0,0.0,13382.0,10.0,0,0,0,0,0,0,195.0,68.0,55.0,False
456,15.0,403.0,20.0,30.0,293.0,64.0,13412.0,10.0,0,0,0,0,0,0,403.0,357.0,55.0,False
457,4.0,270.0,20.0,30.0,307.0,11.0,13421.0,10.0,0,0,0,0,0,0,270.0,318.0,44.0,False
458,4.0,295.0,31.0,30.0,61.0,13421.0,11.0,10.0,0,0,0,0,0,0,295.0,13482.0,44.0,False
459,15.0,260.0,35.0,30.0,199.0,13006.0,463.0,10.0,0,0,0,0,0,0,260.0,13205.0,55.0,False
460,15.0,13.0,20.0,30.0,0.0,0.0,13546.0,10.0,0,0,0,0,0,0,13.0,0.0,55.0,False
461,15.0,80.0,20.0,30.0,13.0,0.0,13564.0,10.0,0,0,0,0,0,0,80.0,13.0,55.0,False
462,15.0,479.0,20.0,30.0,295.0,70.0,13583.0,10.0,0,0,0,0,0,0,479.0,365.0,55.0,False
463,15.0,213.0,20.0,30.0,8.0,38.0,13594.0,10.0,0,0,0,0,0,0,213.0,46.0,55.0,False
464,15.0,343.0,20.0,25.0,117.0,5.0,13663.0,10.0,0,0,0,0,0,0,343.0,122.0,50.0,False
465,15.0,223.0,35.0,30.0,100.0,13594.0,58.0,10.0,0,0,0,0,0,0,223.0,13694.0,55.0,False
466,15.0,411.0,35.0,30.0,105.0,13583.0,90.0,10.0,0,0,0,0,0,0,411.0,13688.0,55.0,False
467,15.0,184.0,20.0,30.0,12.0,0.0,13785.0,10.0,0,0,0,0,0,0,184.0,12.0,55.0,False
468,15.0,102.0,20.0,30.0,136.0,0.0,13794.0,10.0,0,0,0,0,0,0,102.0,136.0,55.0,False
469,15.0,213.0,20.0,30.0,46.0,0.0,13799.0,10.0,0,0,0,0,0,0,213.0,46.0,55.0,False
470,15.0,82.0,35.0,30.0,105.0,13663.0,142.0,10.0,0,0,0,0,0,0,82.0,13768.0,55.0,False
471,15.0,240.0,20.0,30.0,225.0,0.0,13827.0,10.0,0,0,0,0,0,0,240.0,225.0,55.0,False
472,15.0,394.0,35.0,30.0,155.0,13412.0,407.0,10.0,0,0,0,0,0,0,394.0,13567.0,55.0,False
473,15.0,126.0,20.0,30.0,0.0,0.0,13851.0,10.0,0,0,0,0,0,0,126.0,0.0,55.0,False
474,15.0,335.0,20.0,30.0,127.0,10.0,13870.0,10.0,0,0,0,0,0,0,335.0,137.0,55.0,False
475,15.0,279.0,20.0,30.0,99.0,0.0,13885.0,10.0,0,0,0,0,0,0,279.0,99.0,55.0,False
