pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
292,15.0,183.0,20.0,13.0,0.0,17.0,8742.0,10.0,0,0,0,0,0,0,183.0,17.0,38.0,False
293,15.0,114.0,35.0,30.0,70.0,8618.0,109.0,10.0,0,0,0,0,0,0,114.0,8688.0,55.0,False
294,15.0,664.0,35.0,30.0,244.0,8701.0,54.0,10.0,0,0,0,0,0,0,664.0,8945.0,55.0,False
295,15.0,139.0,20.0,30.0,32.0,0.0,8771.0,10.0,0,0,0,0,0,0,139.0,32.0,55.0,False
296,15.0,157.0,35.0,30.0,25.0,8742.0,37.0,10.0,0,0,0,0,0,0,157.0,8767.0,55.0,False
297,15.0,187.0,20.0,30.0,22.0,0.0,8801.0,10.0,0,0,0,0,0,0,187.0,22.0,55.0,False
298,15.0,512.0,35.0,30.0,211.0,8708.0,138.0,10.0,0,0,0,0,0,0,512.0,8919.0,55.0,False
299,15.0,489.0,20.0,30.0,250.0,296.0,8869.0,10.0,0,0,0,0,0,0,489.0,546.0,55.0,False
300,15.0,458.0,3.0,30.0,5.0,17.0,8871.0,10.0,0,0,0,0,0,0,458.0,22.0,55.0,False
301,15.0,415.0,20.0,30.0,28.0,0.0,8888.0,10.0,0,0,0,0,0,0,415.0,28.0,55.0,False
302,15.0,233.0,35.0,30.0,239.0,8871.0,17.0,10.0,0,0,0,0,0,0,233.0,9110.0,55.0,False
303,15.0,397.0,20.0,30.0,111.0,54.0,8910.0,10.0,0,0,0,0,0,0,397.0,165.0,55.0,False
304,15.0,249.0,20.0,30.0,168.0,0.0,8923.0,10.0,0,0,0,0,0,0,249.0,168.0,55.0,False
305,15.0,155.0,20.0,30.0,19.0,0.0,9079.0,10.0,0,0,0,0,0,0,155.0,19.0,55.0,False
306,15.0,20.0,20.0,30.0,60.0,0.0,9083.0,10.0,0,0,0,0,0,0,20.0,60.0,55.0,False
307,15.0,185.0,35.0,30.0,20.0,8910.0,215.0,10.0,0,0,0,0,0,0,185.0,8930.0,55.0,False
308,15.0,93.0,20.0,30.0,158.0,0.0,9143.0,10.0,0,0,0,0,0,0,93.0,158.0,55.0,False
309,15.0,144.0,20.0,30.0,0.0,0.0,9186.0,10.0,0,0,0,0,0,0,144.0,0.0,55.0,False
310,15.0,306.0,35.0,30.0,617.0,8869.0,316.0,10.0,0,0,0,0,0,0,306.0,9486.0,55.0,False
311,15.0,200.0,20.0,30.0,156.0,0.0,9237.0,10.0,0,0,0,0,0,0,200.0,156.0,55.0,False
312,15.0,31.0,20.0,30.0,0.0,0.0,9280.0,10.0,0,0,0,0,0,0,31.0,0.0,55.0,False
313,15.0,179.0,20.0,30.0,43.0,120.0,9285.0,10.0,0,0,0,0,0,0,179.0,163.0,55.0,False
314,15.0,577.0,7.0,30.0,108.0,137.0,9320.0,10.0,0,0,0,0,0,0,577.0,245.0,55.0,False
315,15.0,500.0,20.0,30.0,79.0,74.0,9338.0,10.0,0,0,0,0,0,0,500.0,153.0,55.0,False
316,15.0,699.0,35.0,30.0,177.0,9416.0,13.0,10.0,0,0,0,0,0,0,699.0,9593.0,55.0,False
317,15.0,620.0,20.0,30.0,91.0,136.0,9449.0,10.0,0,0,0,0,0,0,620.0,227.0,55.0,False
318,15.0,214.0,35.0,30.0,279.0,9333.0,131.0,10.0,0,0,0,0,0,0,214.0,9612.0,55.0,False
319,15.0,78.0,20.0,30.0,12.0,0.0,9508.0,10.0,0,0,0,0,0,0,78.0,12.0,55.0,False
320,15.0,357.0,35.0,30.0,7.0,9285.0,213.0,10.0,0,0,0,0,0,0,357.0,9292.0,55.0,False
321,15.0,386.0,35.0,30.0,10.0,9338.0,203.0,10.0,0,0,0,0,0,0,386.0,9348.0,55.0,False
322,11.0,442.0,20.0,30.0,137.0,4.0,9566.0,10.0,0,0,0,0,0,0,442.0,141.0,51.0,False
323,11.0,642.0,24.0,30.0,296.0,9566.0,4.0,10.0,0,0,0,0,0,0,642.0,9862.0,51.0,False
324,15.0,463.0,20.0,30.0,173.0,136.0,9608.0,10.0,0,0,0,0,0,0,463.0,309.0,55.0,False
325,15.0,249.0,35.0,30.0,124.0,9449.0,156.0,10.0,0,0,0,0,0,0,249.0,9573.0,55.0,False
326,15.0,157.0,20.0,30.0,2.0,0.0,9680.0,10.0,0,0,0,0,0,0,157.0,2.0,55.0,False
327,15.0,319.0,20.0,30.0,168.0,0.0,9700.0,10.0,0,0,0,0,0,0,319.0,168.0,55.0,False
328,15.0,154.0,20.0,30.0,93.0,0.0,9715.0,10.0,0,0,0,0,0,0,154.0,93.0,55.0,False
329,15.0,400.0,0.0,30.0,288.0,9643.0,121.0,10.0,0,0,0,0,0,0,400.0,9931.0,55.0,False
330,15.0,122.0,20.0,30.0,44.0,0.0,9777.0,10.0,0,0,0,0,0,0,122.0,44.0,55.0,False
331,15.0,536.0,35.0,30.0,0.0,9729.0,35.0,10.0,0,0,0,0,0,0,536.0,9729.0,55.0,False
332,15.0,13.0,20.0,30.0,49.0,0.0,9782.0,10.0,0,0,0,0,0,0,13.0,49.0,55.0,False
333,15.0,377.0,20.0,30.0,31.0,0.0,9786.0,10.0,0,0,0,0,0,0,377.0,31.0,55.0,False
334,15.0,296.0,20.0,30.0,6.0,0.0,9972.0,10.0,0,0,0,0,0,0,296.0,6.0,55.0,False
335,15.0,349.0,20.0,14.0,131.0,16.0,10001.0,10.0,0,0,0,0,0,0,349.0,147.0,39.0,False
336,15.0,519.0,20.0,30.0,170.0,116.0,10051.0,10.0,0,0,0,0,0,0,519.0,286.0,55.0,False
337,15.0,356.0,20.0,30.0,17.0,171.0,10071.0,10.0,0,0,0,0,0,0,356.0,188.0,55.0,False
338,15.0,185.0,20.0,30.0,38.0,0.0,10083.0,10.0,0,0,0,0,0,0,185.0,38.0,55.0,False
339,15.0,411.0,20.0,30.0,164.0,0.0,10095.0,10.0,0,0,0,0,0,0,411.0,164.0,55.0,False
340,15.0,27.0,20.0,30.0,153.0,0.0,10136.0,10.0,0,0,0,0,0,0,27.0,153.0,55.0,False
341,15.0,187.0,20.0,30.0,169.0,0.0,10148.0,10.0,0,0,0,0,0,0,187.0,169.0,55.0,False
342,15.0,689.0,20.0,30.0,89.0,305.0,10155.0,10.0,0,0,0,0,0,0,689.0,394.0,55.0,False
343,15.0,359.0,20.0,30.0,345.0,0.0,10181.0,10.0,0,0,0,0,0,0,359.0,345.0,55.0,False
344,15.0,335.0,35.0,30.0,55.0,10001.0,167.0,10.0,0,0,0,0,0,0,335.0,10056.0,55.0,False
