pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
447,15.0,283.0,35.0,30.0,108.0,12384.0,243.0,10.0,0,0,0,0,0,0,283.0,12492.0,55.0,False
448,15.0,151.0,20.0,30.0,118.0,0.0,12658.0,10.0,0,0,0,0,0,0,151.0,118.0,55.0,False
449,15.0,321.0,20.0,30.0,67.0,63.0,12703.0,10.0,0,0,0,0,0,0,321.0,130.0,55.0,False
450,15.0,673.0,35.0,10.0,0.0,12723.0,28.0,10.0,0,0,0,0,0,0,673.0,12723.0,35.0,False
451,15.0,256.0,35.0,30.0,98.0,12576.0,162.0,10.0,0,0,0,0,0,0,256.0,12674.0,55.0,False
452,15.0,514.0,35.0,30.0,432.0,12712.0,255.0,10.0,0,0,0,0,0,0,514.0,13144.0,55.0,False
453,15.0,260.0,35.0,30.0,271.0,12731.0,55.0,10.0,0,0,0,0,0,0,260.0,13002.0,55.0,False
454,15.0,242.0,20.0,30.0,29.0,478.0,12911.0,10.0,0,0,0,0,0,0,242.0,507.0,55.0,False
455,15.0,283.0,20.0,30.0,31.0,0.0,12981.0,10.0,0,0,0,0,0,0,283.0,31.0,55.0,False
456,15.0,151.0,20.0,30.0,0.0,0.0,12988.0,10.0,0,0,0,0,0,0,151.0,0.0,55.0,False
457,15.0,460.0,35.0,30.0,579.0,12780.0,222.0,10.0,0,0,0,0,0,0,460.0,13359.0,55.0,False
458,15.0,562.0,20.0,30.0,13.0,123.0,13067.0,10.0,0,0,0,0,0,0,562.0,136.0,55.0,False
459,15.0,59.0,20.0,30.0,0.0,0.0,13085.0,10.0,0,0,0,0,0,0,59.0,0.0,55.0,False
460,15.0,213.0,20.0,30.0,6.0,0.0,13214.0,10.0,0,0,0,0,0,0,213.0,6.0,55.0,False
461,15.0,269.0,35.0,30.0,158.0,13067.0,143.0,10.0,0,0,0,0,0,0,269.0,13225.0,55.0,False
462,15.0,251.0,20.0,30.0,193.0,0.0,13235.0,10.0,0,0,0,0,0,0,251.0,193.0,55.0,False
463,15.0,104.0,20.0,30.0,81.0,0.0,13271.0,10.0,0,0,0,0,0,0,104.0,81.0,55.0,False
464,15.0,514.0,20.0,30.0,179.0,1.0,13281.0,10.0,0,0,0,0,0,0,514.0,180.0,55.0,False
465,15.0,86.0,20.0,30.0,6.0,0.0,13287.0,10.0,0,0,0,0,0,0,86.0,6.0,55.0,False
466,7.0,222.0,20.0,30.0,136.0,8.0,13350.0,10.0,0,0,0,0,0,0,222.0,144.0,47.0,False
467,7.0,344.0,28.0,30.0,201.0,13350.0,8.0,10.0,0,0,0,0,0,0,344.0,13551.0,47.0,False
468,15.0,248.0,20.0,30.0,0.0,0.0,13406.0,10.0,0,0,0,0,0,0,248.0,0.0,55.0,False
469,15.0,492.0,35.0,30.0,0.0,12911.0,557.0,10.0,0,0,0,0,0,0,492.0,12911.0,55.0,False
470,15.0,617.0,20.0,30.0,50.0,103.0,13485.0,10.0,0,0,0,0,0,0,617.0,153.0,55.0,False
471,15.0,445.0,35.0,30.0,228.0,13281.0,230.0,10.0,0,0,0,0,0,0,445.0,13509.0,55.0,False
472,15.0,246.0,20.0,30.0,85.0,0.0,13576.0,10.0,0,0,0,0,0,0,246.0,85.0,55.0,False
473,15.0,156.0,20.0,30.0,112.0,47.0,13587.0,10.0,0,0,0,0,0,0,156.0,159.0,55.0,False
474,15.0,557.0,20.0,30.0,87.0,329.0,13611.0,10.0,0,0,0,0,0,0,557.0,416.0,55.0,False
475,15.0,170.0,35.0,30.0,368.0,13485.0,123.0,10.0,0,0,0,0,0,0,170.0,13853.0,55.0,False
476,15.0,376.0,20.0,30.0,189.0,0.0,13651.0,10.0,0,0,0,0,0,0,376.0,189.0,55.0,False
477,15.0,138.0,20.0,30.0,13.0,61.0,13668.0,10.0,0,0,0,0,0,0,138.0,74.0,55.0,False
478,15.0,426.0,35.0,30.0,4.0,13587.0,67.0,10.0,0,0,0,0,0,0,426.0,13591.0,55.0,False
479,15.0,181.0,20.0,30.0,0.0,0.0,13721.0,10.0,0,0,0,0,0,0,181.0,0.0,55.0,False
480,15.0,77.0,20.0,30.0,174.0,0.0,13728.0,10.0,0,0,0,0,0,0,77.0,174.0,55.0,False
481,15.0,75.0,20.0,30.0,59.0,0.0,13780.0,10.0,0,0,0,0,0,0,75.0,59.0,55.0,False
482,15.0,198.0,35.0,30.0,0.0,13668.0,124.0,10.0,0,0,0,0,0,0,198.0,13668.0,55.0,False
483,15.0,178.0,20.0,30.0,67.0,0.0,13810.0,10.0,0,0,0,0,0,0,178.0,67.0,55.0,False
484,15.0,367.0,20.0,30.0,229.0,0.0,13864.0,10.0,0,0,0,0,0,0,367.0,229.0,55.0,False
485,15.0,284.0,20.0,30.0,195.0,0.0,13889.0,10.0,0,0,0,0,0,0,284.0,195.0,55.0,False
486,15.0,125.0,20.0,30.0,222.0,0.0,13891.0,10.0,0,0,0,0,0,0,125.0,222.0,55.0,False
487,15.0,154.0,20.0,30.0,10.0,0.0,13901.0,10.0,0,0,0,0,0,0,154.0,10.0,55.0,False
488,15.0,130.0,20.0,30.0,45.0,0.0,13937.0,10.0,0,0,0,0,0,0,130.0,45.0,55.0,False
489,15.0,216.0,20.0,30.0,127.0,0.0,14087.0,10.0,0,0,0,0,0,0,216.0,127.0,55.0,False
490,15.0,387.0,35.0,30.0,0.0,13611.0,466.0,10.0,0,0,0,0,0,0,387.0,13611.0,55.0,False
491,15.0,197.0,20.0,30.0,16.0,0.0,14167.0,10.0,0,0,0,0,0,0,197.0,16.0,55.0,False
492,15.0,280.0,20.0,30.0,0.0,49.0,14168.0,10.0,0,0,0,0,0,0,280.0,49.0,55.0,False
493,15.0,165.0,20.0,30.0,50.0,0.0,14177.0,10.0,0,0,0,0,0,0,165.0,50.0,55.0,False
494,3.0,611.0,20.0,30.0,215.0,127.0,14204.0,10.0,0,0,0,0,0,0,611.0,342.0,43.0,False
495,3.0,619.0,32.0,30.0,32.0,14307.0,12.0,10.0,0,0,0,0,0,0,619.0,14339.0,43.0,False
496,15.0,100.0,35.0,30.0,0.0,14168.0,99.0,10.0,0,0,0,0,0,0,100.0,14168.0,55.0,False
497,15.0,63.0,20.0,30.0,0.0,0.0,14316.0,10.0,0,0,0,0,0,0,63.0,0.0,55.0,False
498,3.0,505.0,35.0,30.0,443.0,14216.0,135.0,10.0,0,0,0,0,0,0,505.0,14659.0,43.0,False
499,15.0,277.0,20.0,30.0,141.0,0.0,14389.0,10.0,0,0,0,0,0,0,277.0,141.0,55.0,False
