pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,LOSES_PATIENCE,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
91,15.0,434.0,35.0,30.0,0.0,212.0,6123.0,377.0,10.0,0,0,0,0,0,434.0,6335.0,55.0,False
92,15.0,433.0,20.0,30.0,0.0,156.0,0.0,6647.0,10.0,0,0,0,0,0,433.0,156.0,55.0,False
93,15.0,308.0,20.0,30.0,0.0,33.0,0.0,6673.0,10.0,0,0,0,0,0,308.0,33.0,55.0,False
94,15.0,114.0,20.0,30.0,0.0,396.0,0.0,6735.0,10.0,0,0,0,0,0,114.0,396.0,55.0,False
95,0.0,0.0,0.0,0.0,195.0,0.0,0.0,6786.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
96,0.0,0.0,0.0,0.0,195.0,0.0,0.0,6790.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
97,0.0,226.0,20.0,30.0,0.0,272.0,201.0,6797.0,10.0,0,0,0,0,0,226.0,473.0,40.0,False
98,0.0,164.0,20.0,30.0,0.0,273.0,30.0,6844.0,10.0,0,0,0,0,0,164.0,303.0,40.0,False
99,0.0,0.0,0.0,0.0,195.0,0.0,0.0,6957.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
100,0.0,0.0,0.0,0.0,195.0,0.0,0.0,7039.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
101,0.0,67.0,20.0,30.0,0.0,21.0,191.0,7045.0,10.0,0,0,0,0,0,67.0,212.0,40.0,False
102,0.0,0.0,0.0,0.0,195.0,0.0,0.0,7067.0,0.0,0,0,0,0,0,0.0,0.0,0.0,True
103,0.0,374.0,35.0,30.0,0.0,179.0,6892.0,184.0,10.0,0,0,0,0,0,374.0,7071.0,40.0,False
