pax,ACCEPTS_OFFER,ARRIVES_AT_DROPOFF,ARRIVES_AT_PICKUP,DEPARTS_FROM_PICKUP,MEETS_DRIVER_AT_PICKUP,RECEIVES_OFFER,REQUESTS_RIDE,SETS_OFF_FOR_DEST,STARTS_DAY,IS_REJECTED_BY_VEHICLE,REJECTS_OFFER,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE,TRAVEL,WAIT,OPERATIONS,LOST_PATIENCE
409,15.0,218.0,20.0,30.0,125.0,0.0,11963.0,10.0,0,0,0,0,0,0,218.0,125.0,55.0,False
410,15.0,370.0,0.0,30.0,188.0,11991.0,62.0,10.0,0,0,0,0,0,0,370.0,12179.0,55.0,False
411,15.0,140.0,35.0,30.0,60.0,12018.0,35.0,10.0,0,0,0,0,0,0,140.0,12078.0,55.0,False
412,15.0,567.0,20.0,30.0,211.0,0.0,12088.0,10.0,0,0,0,0,0,0,567.0,211.0,55.0,False
413,15.0,559.0,16.0,30.0,70.0,4.0,12186.0,10.0,0,0,0,0,0,0,559.0,74.0,55.0,False
414,15.0,371.0,33.0,30.0,142.0,12188.0,2.0,10.0,0,0,0,0,0,0,371.0,12330.0,55.0,False
415,15.0,374.0,35.0,30.0,303.0,12188.0,2.0,10.0,0,0,0,0,0,0,374.0,12491.0,55.0,False
416,15.0,352.0,20.0,30.0,0.0,92.0,12218.0,10.0,0,0,0,0,0,0,352.0,92.0,55.0,False
417,15.0,128.0,20.0,30.0,33.0,0.0,12297.0,10.0,0,0,0,0,0,0,128.0,33.0,55.0,False
418,15.0,387.0,35.0,30.0,0.0,11907.0,412.0,10.0,0,0,0,0,0,0,387.0,11907.0,55.0,False
419,15.0,256.0,20.0,30.0,97.0,0.0,12338.0,10.0,0,0,0,0,0,0,256.0,97.0,55.0,False
420,15.0,127.0,20.0,30.0,0.0,0.0,12345.0,10.0,0,0,0,0,0,0,127.0,0.0,55.0,False
421,15.0,236.0,20.0,30.0,107.0,0.0,12375.0,10.0,0,0,0,0,0,0,236.0,107.0,55.0,False
422,15.0,368.0,35.0,30.0,0.0,12218.0,142.0,10.0,0,0,0,0,0,0,368.0,12218.0,55.0,False
423,15.0,164.0,20.0,30.0,140.0,0.0,12453.0,10.0,0,0,0,0,0,0,164.0,140.0,55.0,False
424,15.0,251.0,20.0,30.0,198.0,0.0,12466.0,10.0,0,0,0,0,0,0,251.0,198.0,55.0,False
425,15.0,115.0,20.0,30.0,43.0,0.0,12550.0,10.0,0,0,0,0,0,0,115.0,43.0,55.0,False
426,15.0,174.0,20.0,30.0,10.0,0.0,12555.0,10.0,0,0,0,0,0,0,174.0,10.0,55.0,False
427,15.0,207.0,20.0,30.0,0.0,0.0,12620.0,10.0,0,0,0,0,0,0,207.0,0.0,55.0,False
428,15.0,35.0,20.0,30.0,0.0,0.0,12627.0,10.0,0,0,0,0,0,0,35.0,0.0,55.0,False
429,15.0,231.0,20.0,30.0,131.0,0.0,12633.0,10.0,0,0,0,0,0,0,231.0,131.0,55.0,False
430,15.0,74.0,20.0,30.0,8.0,0.0,12634.0,10.0,0,0,0,0,0,0,74.0,8.0,55.0,False
431,15.0,358.0,20.0,30.0,294.0,0.0,12698.0,10.0,0,0,0,0,0,0,358.0,294.0,55.0,False
432,15.0,71.0,20.0,30.0,74.0,0.0,12788.0,10.0,0,0,0,0,0,0,71.0,74.0,55.0,False
433,15.0,234.0,20.0,30.0,225.0,0.0,12806.0,10.0,0,0,0,0,0,0,234.0,225.0,55.0,False
434,15.0,308.0,20.0,30.0,65.0,28.0,12812.0,10.0,0,0,0,0,0,0,308.0,93.0,55.0,False
435,15.0,353.0,20.0,30.0,61.0,187.0,12840.0,10.0,0,0,0,0,0,0,353.0,248.0,55.0,False
436,15.0,311.0,20.0,30.0,437.0,55.0,12868.0,10.0,0,0,0,0,0,0,311.0,492.0,55.0,False
437,15.0,481.0,20.0,30.0,22.0,21.0,12876.0,10.0,0,0,0,0,0,0,481.0,43.0,55.0,False
438,15.0,361.0,35.0,30.0,201.0,12883.0,25.0,10.0,0,0,0,0,0,0,361.0,13084.0,55.0,False
439,15.0,208.0,20.0,30.0,82.0,0.0,12913.0,10.0,0,0,0,0,0,0,208.0,82.0,55.0,False
440,15.0,131.0,20.0,30.0,0.0,0.0,12919.0,10.0,0,0,0,0,0,0,131.0,0.0,55.0,False
441,15.0,512.0,35.0,30.0,219.0,12876.0,41.0,10.0,0,0,0,0,0,0,512.0,13095.0,55.0,False
442,15.0,299.0,35.0,30.0,437.0,12893.0,50.0,10.0,0,0,0,0,0,0,299.0,13330.0,55.0,False
443,15.0,85.0,20.0,30.0,55.0,0.0,12958.0,10.0,0,0,0,0,0,0,85.0,55.0,55.0,False
444,15.0,229.0,35.0,30.0,135.0,12812.0,143.0,10.0,0,0,0,0,0,0,229.0,12947.0,55.0,False
445,15.0,200.0,20.0,30.0,18.0,219.0,12984.0,10.0,0,0,0,0,0,0,200.0,237.0,55.0,False
446,15.0,269.0,20.0,30.0,152.0,0.0,12984.0,10.0,0,0,0,0,0,0,269.0,152.0,55.0,False
447,15.0,350.0,20.0,4.0,21.0,26.0,13027.0,10.0,0,0,0,0,0,0,350.0,47.0,29.0,False
448,15.0,251.0,20.0,30.0,139.0,0.0,13092.0,10.0,0,0,0,0,0,0,251.0,139.0,55.0,False
449,15.0,630.0,35.0,30.0,0.0,13027.0,67.0,10.0,0,0,0,0,0,0,630.0,13027.0,55.0,False
450,15.0,239.0,20.0,30.0,308.0,0.0,13142.0,10.0,0,0,0,0,0,0,239.0,308.0,55.0,False
451,15.0,472.0,35.0,30.0,0.0,12840.0,298.0,10.0,0,0,0,0,0,0,472.0,12840.0,55.0,False
452,15.0,150.0,20.0,30.0,86.0,0.0,13253.0,10.0,0,0,0,0,0,0,150.0,86.0,55.0,False
453,15.0,279.0,20.0,30.0,434.0,84.0,13279.0,10.0,0,0,0,0,0,0,279.0,518.0,55.0,False
454,15.0,205.0,35.0,30.0,0.0,12984.0,287.0,10.0,0,0,0,0,0,0,205.0,12984.0,55.0,False
455,15.0,174.0,20.0,30.0,16.0,0.0,13290.0,10.0,0,0,0,0,0,0,174.0,16.0,55.0,False
456,15.0,92.0,20.0,30.0,119.0,0.0,13346.0,10.0,0,0,0,0,0,0,92.0,119.0,55.0,False
