veh,nRIDES,nREJECTED,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,TRAVEL,WAIT,CRUISE,OPERATIONS,IDLE,PAX_KM,TTRAV,DIST,DRIVING_TIME,DRIVING_DIST,FARE,COMMISSION,REVENUE,PICKUP_DIST,TRAVEL_DIST,OPERATING_COST,PROFIT,LOST_PATIENCE
37,16.0,0.0,False,0,0,9228.0,139.0,0,529.0,0,1009.0,0.0,480.0,3032.0,0,0,0,0,7182.0,3032.0,0.0,1009.0,1148.0,1993.0,45.03,548,5.48,4041.0,40.410000000000004,8.221499999999999,1.6442999999999999,6.5771999999999995,10.09,15.57,0.7785000000000001,5.798699999999999,False
38,11.0,0.0,False,0,0,10426.0,105.0,0,637.0,0,636.0,0.0,330.0,1815.0,0,0,0,0,7650.0,1815.0,0.0,636.0,1072.0,4127.0,29.251,363,3.63,2451.0,24.51,5.4495000000000005,1.0899,4.3596,6.36,9.99,0.49950000000000006,3.8601,False
39,12.0,0.0,False,0,0,6188.0,135.0,0,381.0,0,1201.0,0.0,360.0,1918.0,0,0,0,0,11416.0,1918.0,0.0,1201.0,876.0,7421.0,27.987,278,2.78,3119.0,31.19,4.1745,0.8349000000000001,3.3396000000000003,12.01,14.79,0.7395,2.6001000000000003,False
40,5.0,0.0,False,0,0,1882.0,45.0,0,99.0,0,402.0,0.0,150.0,913.0,0,0,0,0,18108.0,913.0,0.0,402.0,294.0,16499.0,15.691,167,1.67,1315.0,13.15,2.511,0.5022000000000001,2.0088000000000004,4.0200000000000005,5.69,0.28450000000000003,1.7243000000000004,False
41,14.0,0.0,False,0,0,6285.0,90.0,0,627.0,0,1134.0,0.0,390.0,2254.0,0,0,0,0,10819.0,2254.0,0.0,1134.0,1107.0,6324.0,39.981,281,2.81,3388.0,33.88,4.221,0.8442000000000001,3.3768000000000002,11.34,14.15,0.7075,2.6693000000000002,False
42,21.0,0.0,False,0,0,7236.0,180.0,0,1046.0,0,982.0,180.0,630.0,4021.0,0,0,0,0,7324.0,4021.0,180.0,982.0,1856.0,285.0,59.714,166,1.66,5003.0,50.03,2.496,0.49920000000000003,1.9968000000000001,9.82,11.48,0.5740000000000001,1.4228,False
43,0.0,0.0,False,0,0,616.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,20983.0,0.0,0.0,0.0,0.0,20983.0,0.0,66,0.66,0.0,0.0,1.0005000000000002,0.20010000000000006,0.8004000000000002,0.0,0.66,0.033,0.7674000000000002,True
44,12.0,0.0,False,0,0,5868.0,105.0,0,411.0,0,975.0,0.0,341.0,2556.0,0,0,0,0,11343.0,2556.0,0.0,975.0,857.0,6955.0,38.121,180,1.8,3531.0,35.31,2.7,0.54,2.16,9.75,11.55,0.5775,1.5825,False
45,17.0,0.0,False,0,0,8944.0,165.0,0,583.0,0,1465.0,0.0,497.0,2827.0,0,0,0,0,7118.0,2827.0,0.0,1465.0,1245.0,1581.0,43.808,227,2.27,4292.0,42.92,3.4155,0.6831,2.7324,14.65,16.92,0.8460000000000001,1.8864,False
46,7.0,0.0,False,0,0,2371.0,60.0,0,215.0,0,476.0,0.0,210.0,964.0,0,0,0,0,17303.0,964.0,0.0,476.0,485.0,15378.0,12.58,374,3.74,1440.0,14.4,5.61,1.122,4.488,4.76,8.5,0.42500000000000004,4.063000000000001,False
47,18.0,0.0,False,0,0,9038.0,178.0,0,724.0,0,1380.0,0.0,540.0,2599.0,0,0,0,0,7140.0,2599.0,0.0,1380.0,1442.0,1719.0,40.281,114,1.14,3979.0,39.79,1.7175,0.3435,1.374,13.8,14.940000000000001,0.7470000000000001,0.627,False
48,10.0,0.0,False,0,0,8174.0,120.0,0,342.0,0,939.0,0.0,300.0,1450.0,0,0,0,0,10274.0,1450.0,0.0,939.0,762.0,7123.0,20.952,276,2.76,2389.0,23.89,4.1475,0.8295,3.318,9.39,12.15,0.6075,2.7105,False
49,2.0,0.0,False,0,0,2031.0,30.0,0,23.0,0,9997.0,0.0,60.0,305.0,0,0,0,0,9153.0,305.0,0.0,9997.0,113.0,-1262.0,3.063,371,3.71,10302.0,103.02,5.5755,1.1151,4.4604,99.97,103.67999999999999,5.184,-0.7236000000000002,False
50,16.0,0.0,False,0,0,7954.0,135.0,0,807.0,0,1157.0,0.0,480.0,3454.0,0,0,0,0,7612.0,3454.0,0.0,1157.0,1422.0,1579.0,55.666,240,2.4,4611.0,46.11,3.5999999999999996,0.72,2.88,11.57,13.97,0.6985000000000001,2.1814999999999998,False
